playlist,song_name,singer,album,song_duration
Today’s Top Hits,Water,Tyla,Water,3:20
Today’s Top Hits,Lovin On Me,Jack Harlow,Lovin On Me,2:18
Today’s Top Hits,greedy,Tate McRae,greedy,2:11
Today’s Top Hits,Houdini,Dua Lipa,Houdini,3:05
Today’s Top Hits,MY HOUSE,Beyoncé,MY HOUSE,4:22
Today’s Top Hits,Strangers,Kenya Grace,Strangers,2:52
Today’s Top Hits,Snooze,SZA,SOS,3:21
Today’s Top Hits,Cruel Summer,Taylor Swift,Lover,2:58
Today’s Top Hits,Standing Next to You,Jung Kook,GOLDEN,3:26
Today’s Top Hits,MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,4:27
Today’s Top Hits,Paint The Town Red,Doja Cat,Paint The Town Red,3:51
Today’s Top Hits,vampire,Olivia Rodrigo,vampire,3:39
Today’s Top Hits,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,3:47
Today’s Top Hits,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2:17
Today’s Top Hits,Calm Down (with Selena Gomez),Rema,Calm Down (with Selena Gomez),3:59
Today’s Top Hits,You’re Losing Me (From The Vault),Taylor Swift,You're Losing Me (From The Vault),4:37
Today’s Top Hits,Agora Hills,Doja Cat,Scarlet,4:25
Today’s Top Hits,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),2:56
Today’s Top Hits,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Popular [The Idol Vol. 1 (Music from the HBO Original Series)],3:35
Today’s Top Hits,exes,Tate McRae,exes,2:39
Today’s Top Hits,Feather,Sabrina Carpenter,emails i can’t send fwd:,3:05
Today’s Top Hits,Seven (feat. Latto) (Explicit Ver.),Jung Kook,Seven (feat. Latto),3:04
Today’s Top Hits,Stick Season,Noah Kahan,Stick Season,3:02
Today’s Top Hits,Si No Estás,iñigo quintero,Si No Estás,3:04
Today’s Top Hits,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),3:30
Christmas Hits,Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,2:06
Christmas Hits,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,4:01
Christmas Hits,Last Christmas,Wham!,LAST CHRISTMAS,4:22
Christmas Hits,Jingle Bell Rock,Bobby Helms,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),2:10
Christmas Hits,It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),3:26
Christmas Hits,Santa Tell Me,Ariana Grande,Santa Tell Me,3:24
Christmas Hits,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,My Kind Of Christmas,1:57
Christmas Hits,Winter Wonderland - Spotify Singles Holiday,Laufey,Spotify Singles Holiday,2:12
Christmas Hits,It's the Most Wonderful Time of the Year,Andy Williams,The Andy Williams Christmas Album,2:31
Christmas Hits,Underneath the Tree,Kelly Clarkson,Wrapped In Red,3:49
Christmas Hits,Sleigh Ride,The Ronettes,A Christmas Gift For You From Phil Spector,3:01
Christmas Hits,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,Power To The People - The Hits,3:33
Christmas Hits,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,McCartney II (Special Edition),3:47
Christmas Hits,Holly Jolly Christmas,Michael Bublé,Christmas (Deluxe Special Edition),1:59
Christmas Hits,Feliz Navidad,José Feliciano,The Definite Best,3:02
Christmas Hits,The Christmas Song (Merry Christmas To You),Nat King Cole,The Christmas Song (Expanded Edition),3:12
Christmas Hits,Do They Know It's Christmas? - 1984 Version,Band Aid,Do They Know Its Christmas?,3:42
Christmas Hits,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,Christmas Songs By Sinatra,2:35
Christmas Hits,Christmas (Baby Please Come Home),Darlene Love,Christmas Crooners and Classics,2:46
Christmas Hits,Snowman,Sia,Everyday Is Christmas (Deluxe Edition),2:45
Christmas Hits,Mistletoe,Justin Bieber,Under The Mistletoe (Deluxe Edition),3:02
Christmas Hits,"Santa, Can’t You Hear Me",Kelly Clarkson,When Christmas Comes Around...,4:02
Christmas Hits,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,Greatest Christmas Songs,2:35
Christmas Hits,My Only Wish (This Year),Britney Spears,My Only Wish (This Year),4:15
Christmas Hits,A Holly Jolly Christmas - Single Version,Burl Ives,Christmas Eve,2:13
Calming Acoustic,Dahlia,Raoul Raffino,Dahlia,2:20
Calming Acoustic,Maine,Oscar Roland,Maine,2:44
Calming Acoustic,Innocent Face,Celia Cloten,Innocent Face,2:02
Calming Acoustic,Les Étoiles,Kim Rodgers,Les Étoiles,2:34
Calming Acoustic,Peaberry,Matthias Trapp,Peaberry,2:49
Calming Acoustic,Montes Claros,Adeben,Montes Claros,2:45
Calming Acoustic,Soft Echoes,Colin Weary,Soft Echoes,3:27
Calming Acoustic,Ischia,Neve Baker,Ischia,2:34
Calming Acoustic,Simpatia,Hanni Licht,Simpatia,2:46
Calming Acoustic,Act of Kindness,Amma Lerato,Act of Kindness,3:05
Calming Acoustic,Portrait,Elsa Pelling,Portrait,2:30
Calming Acoustic,Carroll Gardens,Las Almas Nuevas,Carroll Gardens,2:44
Calming Acoustic,Blank Stare Happy,American Legion,Seeking Song,2:56
Calming Acoustic,Le Marais,Toni Barella,Le Marais,2:20
Calming Acoustic,Aquamarine,Dieter Huber,Aquamarine,2:39
Calming Acoustic,Ten Eyck,Leonardo Agusti,Ten Eyck,2:20
Calming Acoustic,If Only,Vita Alexander,If Only,2:44
Calming Acoustic,Back in the Village,Cordell Zoe,Back in the Village,2:14
Calming Acoustic,Oars divide the Ocean,lili may,Oars divide the Ocean,2:10
Calming Acoustic,Lascia Fare A Me,Valerio Castilla,Lascia Fare A Me,3:05
Calming Acoustic,The Airport,Kim Rodgers,The Airport,2:30
Calming Acoustic,My Place,Denver Paige,My Place,3:07
Calming Acoustic,Wetterstein,Michael Reiss,Wetterstein,4:08
Calming Acoustic,Closure,Finlep,Closure,2:41
Sleep,Promised,Macroix,Promised,2:33
Sleep,Melancholy,Jonas Sandberg,Mosaic,2:59
Sleep,My Armour,South Noon,My Armour,3:20
Sleep,Sakalas,Gabriel Derus,Sakalas,2:56
Sleep,Spherical,Aiden Gaarder,Painted Illusions,2:55
Sleep,Isolate,Mystery Ark,Aurora,3:22
Sleep,Protect Your Mind,Treasures Meditation Flow,Endless Time,3:14
Sleep,Aesolace,Pollux Pluto,Aesolace,3:01
Sleep,Nordic Dusk,Frej Simdo,Nordic Dusk,3:12
Sleep,Forward Momentum,Ceylan Aydem Project,Forward Momentum,2:47
Sleep,Gradually,Eône,Gradually,2:54
Sleep,Retrospect,Aveniós,Retrospect,3:04
Sleep,Aligned Adventures,Secret Medicine,Aligned Adventures,3:14
Sleep,Overcome,Anders-Petter Carlskog,Overcome,3:10
Sleep,Times of Balance,Phobic,Times of Balance,2:52
Sleep,Epica,Ella Watson,Epica,3:09
Sleep,Tender,St/llar,Tender,3:03
Sleep,Hemisphere,Solis Occasum,Hemisphere,3:02
Sleep,Changing,De Janos,Changing,3:03
Sleep,The New World,Cardi Mist,Need Alone TIm,3:14
Sleep,Following,Aquilonius,Following,3:05
Sleep,Herinneringen,Sohn Aelia,Herinneringen,2:52
Sleep,Scorchio,Maria Botican,Infinity Air,3:16
Sleep,Boundless,Haldur,Boundless,2:58
